,stationName,o3Value
0,중구,0.056
1,한강대로,0.019
2,종로구,0.060
3,청계천로,0.055
4,종로,0.047
5,용산구,0.050
6,광진구,0.052
7,성동구,0.068
8,강변북로,0.044
9,중랑구,0.048
10,동대문구,-
11,홍릉로,0.045
12,성북구,-
13,정릉로,0.048
14,도봉구,0.059
15,은평구,0.065
16,서대문구,-
17,마포구,0.054
18,신촌로,0.022
19,강서구,0.061
20,공항대로,0.060
21,구로구,0.071
22,영등포구,0.059
23,영등포로,0.049
24,동작구,0.062
25,동작대로 중앙차로,0.054
26,관악구,0.063
27,강남구,0.055
28,서초구,0.061
29,도산대로,0.040
30,강남대로,0.051
31,송파구,0.060
32,강동구,0.048
33,천호대로,0.051
34,금천구,-
35,시흥대로,0.058
36,강북구,0.060
37,양천구,0.060
38,노원구,0.065
39,화랑로,0.031
